Collection_year,Region,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Trophic_level,log_weight,Wet_dry,Raw_cooked,log_mean_mehg,Precipitation_yearsum_mm,Ten_metre_wind_speed,Potential_evaporation_m,Surface_net_downward_shortwave_flux,log_hg_em_lag2,log_co2_em,log_ch4_em,Two_m_temperature_yearmax_runmean_K
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,3.1,2.441718859,Wet,Raw,2.002907549,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,2.8,1.46475679,Wet,Raw,2.255493789,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,2.7,2.481457105,Wet,Raw,2.244481013,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,3.3,1.505388739,Wet,Raw,2.31492912,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.3,2.594672044,Wet,Raw,2.268015342,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,3.2,1.764607282,Wet,Raw,1.996560112,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.5,3.005481239,Wet,Raw,2.285328324,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,2.6,2.787063435,Wet,Raw,1.938719925,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.259119653,Wet,Raw,2.375954046,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.2,1.57254219,Wet,Raw,2.663233284,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Herbivore,3.3,1.991856322,Wet,Raw,2.409523322,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.3,1.285557309,Wet,Raw,2.197567235,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2011,North_East_China,River,Wild,Freshwater,Finfish,Omnivore,3.1,2.384686619,Wet,Raw,1.789999257,610.7186526,2.986809492,-0.002290159,10537757,2.694226912,3.578541815,1.785112644,301.4104919
