Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2017,Wetland,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.261495246
2018,Lake,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.584331224
2018,Lake,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.399500661
2018,Lake,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.812913357
2018,Lake,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.874481818
2018,Lake,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.206015877
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.29785991
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.049423257
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.732649393
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.049423257
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.966100832
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,-0.2715
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,-0.2715
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,-0.2715
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,-0.2715
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.045273864
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.045273864
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.732649393
2018,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.464026135
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.742406317
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.425632452
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.80965855
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.464026135
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.7808
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.876657523
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.418497122
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.784949393
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.95300259
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.636228725
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.742406317
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.425632452
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.80965855
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.464026135
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.7808
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.876657523
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.418497122
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.784949393
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.95300259
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.636228725
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.742406317
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.425632452
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.80965855
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.464026135
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.7808
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.876657523
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.418497122
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.784949393
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.95300259
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.636228725
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.742406317
2015,River,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.425632452
