Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,12.61
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,49.07
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,69.2
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,30.93
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,5.719506394
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.36896554
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,14.36993619
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,34.91045407
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,16.83377946
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.03437657
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,67.13994952
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,55.5502047
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,46.9034943
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,29.36775542
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,21.60383178
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.61016024
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,39.57622195
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,70.96172807
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,180.0917379
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,154.6171872
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,130.8303404
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,11.86130338
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,100.6717339
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,409.433768
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,94.83552501
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,107.9906228
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,124.1773159
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.6
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.93
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,13.04
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.5
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7.06
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,13.8795
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,12.71680702
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7.763054866
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,20.73164742
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,30
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,196.6730792
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,128.6107532
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,165.8321135
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,51.71948481
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,84.66563087
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,29.38837198
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,6.291065153
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,13.04662103
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,5.84628383
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,43
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,52.9
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,40.47646583
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,207.2615372
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,46.78392638
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,177.8363651
