Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,49.10762293
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,42.57387558
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,171.0788372
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,21.88140802
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,86.84002196
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.109874477
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,21.81369027
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.751187781
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.347354049
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.147598106
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,16.49971543
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,17.83792758
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.20529403
Wild,Seawater,Finfish,Omnivore,Wet,Raw,22.49133306
Wild,Seawater,Finfish,Omnivore,Wet,Raw,107.9173089
Wild,Seawater,Finfish,Omnivore,Wet,Raw,35.95092254
Wild,Seawater,Finfish,Omnivore,Wet,Raw,84.15866947
Wild,Seawater,Finfish,Omnivore,Wet,Raw,690
Wild,Seawater,Finfish,Omnivore,Wet,Raw,46
Wild,Seawater,Finfish,Omnivore,Wet,Raw,160
Wild,Seawater,Finfish,Omnivore,Wet,Raw,17.5
Wild,Seawater,Finfish,Omnivore,Wet,Raw,9.1
Wild,Seawater,Finfish,Omnivore,Wet,Raw,22
Wild,Seawater,Finfish,Omnivore,Wet,Raw,33.1
Wild,Seawater,Finfish,Omnivore,Wet,Raw,31.5
Wild,Seawater,Finfish,Omnivore,Wet,Raw,39.4
Wild,Seawater,Finfish,Omnivore,Wet,Raw,36.5
Wild,Seawater,Finfish,Omnivore,Wet,Raw,19.2
Wild,Seawater,Finfish,Omnivore,Wet,Raw,15.1
Wild,Seawater,Finfish,Omnivore,Wet,Raw,28.6
Wild,Seawater,Finfish,Omnivore,Wet,Raw,37.8
Wild,Seawater,Finfish,Omnivore,Wet,Raw,41.7
Wild,Seawater,Finfish,Omnivore,Wet,Raw,897.90242
Wild,Seawater,Finfish,Omnivore,Wet,Raw,615.3168178
Wild,Seawater,Finfish,Omnivore,Wet,Raw,543.5894083
Wild,Seawater,Finfish,Omnivore,Wet,Raw,9.899094216
