Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.659061598
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.597434333
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.851024183
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.255493789
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.189257768
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.116708471
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.074132414
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.002907549
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.612183658
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.976971053
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.431018674
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.033386046
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.094042268
2015,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.414973348
2015,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.46686762
2015,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.115277591
2015,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.290034611
2015,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.848804701
2015,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.142373821
2015,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.104378081
2015,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.890032656
2015,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.316633814
2008,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.293744917
2008,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.109277282
2008,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.219668636
2008,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.71365419
2008,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.927707149
2008,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.468175528
2008,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.916422425
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.131297797
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.544068044
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.62324929
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.614897216
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,0.477121255
2015,Reservoir,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,1.075546961
